Zeit;Bremslichtschalter
s;Unit
0;0
0.072;0
0.144;0
0.216;1
0.288;1
0.36;1
0.432;1
0.504;1
0.576;1
0.648;1
0.72;1
0.792;1
0.864;1
0.936;1
1.008;1
1.08;1
1.152;1
1.224;1
1.296;1
1.368;1
1.44;1
1.512;1
1.584;1
1.656;1
1.728;1
1.8;1
1.872;1
1.944;1
2.016;1
2.088;1
2.16;1
2.232;1
2.304;1
2.376;1
2.448;1
2.52;1
2.592;1
2.664;1
2.736;1
2.808;1
2.88;1
2.952;1
3.024;1
3.096;1
3.168;1
3.24;1
3.312;1
3.384;1
3.456;1
3.528;1
3.6;1
3.672;1
3.744;1
3.816;1
3.888;1
3.96;1
4.032;0
4.104;0
4.176;0
4.248;0
4.32;0
4.392;0
4.464;0
4.536;0
4.608;0
4.68;0
4.752;0
4.824;0
4.896;0
4.968;0
5.04;0
5.112;0
5.184;0
5.256;0
5.328;1
5.4;1
5.472;1
5.544;1
5.616;1
5.688;1
5.76;1
5.832;1
5.904;1
5.976;1
6.048;1
6.12;1
6.192;1
6.264;1
6.336;1
6.408;1
6.48;1
6.552;1
6.624;1
6.696;1
6.768;1
6.84;1
6.912;1
6.984;1
7.056;1
7.128;0
7.2;0
7.272;0
7.344;0
7.416;0
7.488;0
7.56;0
7.632;0
7.704;0
7.776;0
7.848;0
7.92;0
7.992;0
8.064;0
8.136;0
8.208;0
8.28;0
8.352;0
8.424;0
8.496;0
8.568;0
8.64;0
8.712;0
8.784;0
8.856;0
8.928;1
9;1
9.072;1
9.144;1
9.216;1
9.288;1
9.36;1
9.432;1
9.504;1
9.576;1
9.648;1
9.72;1
9.792;1
9.864;1
9.936;1
10.008;1
10.08;1
10.152;1
10.224;1
10.296;1
10.368;1
10.44;1
10.512;1
10.584;1
10.656;1
10.728;1
10.8;1
10.872;1
10.944;1
11.016;1
11.088;1
11.16;1
11.232;1
11.304;1
11.376;1
11.448;1
11.52;1
11.592;1
11.664;1
11.736;1
11.808;1
11.88;1
11.952;1
12.024;1
12.096;1
12.168;1
